Year,Series,Sex,Age,Value
2019,1. Participation rate in education and training in the last 4 weeks,Both Sexes,45-54 years,9.3
2019,1. Participation rate in education and training in the last 4 weeks,Both Sexes,55-74 years,4.0
2019,1. Participation rate in education and training in the last 4 weeks,Females,25-34 years,20.7
2019,1. Participation rate in education and training in the last 4 weeks,Females,35-44 years,13.6
2019,1. Participation rate in education and training in the last 4 weeks,Females,45-54 years,8.3
2019,1. Participation rate in education and training in the last 4 weeks,Females,55-74 years,4.8
2019,1. Participation rate in education and training in the last 4 weeks,Males,25-34 years,15.4
2019,1. Participation rate in education and training in the last 4 weeks,Males,35-44 years,10.5
2019,1. Participation rate in education and training in the last 4 weeks,Males,45-54 years,10.2
2019,1. Participation rate in education and training in the last 4 weeks,Males,55-74 years,3.2
2020,1. Participation rate in education and training in the last 4 weeks,Both Sexes,25-34 years,16.1
2020,1. Participation rate in education and training in the last 4 weeks,Both Sexes,35-44 years,11.0
2020,1. Participation rate in education and training in the last 4 weeks,Both Sexes,45-54 years,8.1
2020,1. Participation rate in education and training in the last 4 weeks,Both Sexes,55-74 years,3.7
2020,1. Participation rate in education and training in the last 4 weeks,Females,25-34 years,19.1
2020,1. Participation rate in education and training in the last 4 weeks,Females,35-44 years,13.7
2020,1. Participation rate in education and training in the last 4 weeks,Females,45-54 years,7.6
2020,1. Participation rate in education and training in the last 4 weeks,Females,55-74 years,3.9
2020,1. Participation rate in education and training in the last 4 weeks,Males,25-34 years,13.6
2020,1. Participation rate in education and training in the last 4 weeks,Males,35-44 years,8.8
2020,1. Participation rate in education and training in the last 4 weeks,Males,45-54 years,8.7
2020,1. Participation rate in education and training in the last 4 weeks,Males,55-74 years,3.4
2021,1. Participation rate in education and training in the last 4 weeks,Both Sexes,25-34 years,18.5
2021,1. Participation rate in education and training in the last 4 weeks,Both Sexes,35-44 years,16.8
2021,1. Participation rate in education and training in the last 4 weeks,Both Sexes,45-54 years,11.9
2021,1. Participation rate in education and training in the last 4 weeks,Both Sexes,55-74 years,3.4
2021,1. Participation rate in education and training in the last 4 weeks,Females,25-34 years,19.9
2021,1. Participation rate in education and training in the last 4 weeks,Females,35-44 years,18.7
2021,1. Participation rate in education and training in the last 4 weeks,Females,45-54 years,12.9
2021,1. Participation rate in education and training in the last 4 weeks,Females,55-74 years,3.2
2021,1. Participation rate in education and training in the last 4 weeks,Males,25-34 years,17.4
2021,1. Participation rate in education and training in the last 4 weeks,Males,35-44 years,15.3
2021,1. Participation rate in education and training in the last 4 weeks,Males,45-54 years,10.9
2021,1. Participation rate in education and training in the last 4 weeks,Males,55-74 years,3.6
2022,1. Participation rate in education and training in the last 4 weeks,Both Sexes,25-34 years,17.8
2022,1. Participation rate in education and training in the last 4 weeks,Both Sexes,35-44 years,14.8
2022,1. Participation rate in education and training in the last 4 weeks,Both Sexes,45-54 years,11.1
2022,1. Participation rate in education and training in the last 4 weeks,Both Sexes,55-74 years,3.7
2022,1. Participation rate in education and training in the last 4 weeks,Females,25-34 years,17.6
2022,1. Participation rate in education and training in the last 4 weeks,Females,35-44 years,17.3
2022,1. Participation rate in education and training in the last 4 weeks,Females,45-54 years,11.6
2022,1. Participation rate in education and training in the last 4 weeks,Females,55-74 years,3.9
2022,1. Participation rate in education and training in the last 4 weeks,Males,25-34 years,17.9
2022,1. Participation rate in education and training in the last 4 weeks,Males,35-44 years,12.8
2022,1. Participation rate in education and training in the last 4 weeks,Males,45-54 years,10.7
2022,1. Participation rate in education and training in the last 4 weeks,Males,55-74 years,3.4
2023,1. Participation rate in education and training in the last 4 weeks,Both Sexes,25-34 years,21.9
2023,1. Participation rate in education and training in the last 4 weeks,Both Sexes,35-44 years,19.1
2023,1. Participation rate in education and training in the last 4 weeks,Both Sexes,45-54 years,12.7
2023,1. Participation rate in education and training in the last 4 weeks,Both Sexes,55-74 years,5.1
2023,1. Participation rate in education and training in the last 4 weeks,Females,25-34 years,24.7
2023,1. Participation rate in education and training in the last 4 weeks,Females,35-44 years,21.4
2023,1. Participation rate in education and training in the last 4 weeks,Females,45-54 years,13.6
2023,1. Participation rate in education and training in the last 4 weeks,Females,55-74 years,5.8
2023,1. Participation rate in education and training in the last 4 weeks,Males,25-34 years,19.8
2023,1. Participation rate in education and training in the last 4 weeks,Males,35-44 years,17.3
2023,1. Participation rate in education and training in the last 4 weeks,Males,45-54 years,12.0
2023,1. Participation rate in education and training in the last 4 weeks,Males,55-74 years,4.4
2024,1. Participation rate in education and training in the last 4 weeks,Both Sexes,25-34 years,25.9
2024,1. Participation rate in education and training in the last 4 weeks,Both Sexes,35-44 years,19.1
2024,1. Participation rate in education and training in the last 4 weeks,Both Sexes,45-54 years,15.1
2024,1. Participation rate in education and training in the last 4 weeks,Both Sexes,55-74 years,5.5
2024,1. Participation rate in education and training in the last 4 weeks,Females,25-34 years,25.3
2024,1. Participation rate in education and training in the last 4 weeks,Females,35-44 years,19.8
2024,1. Participation rate in education and training in the last 4 weeks,Females,45-54 years,14.7
2024,1. Participation rate in education and training in the last 4 weeks,Females,55-74 years,5.7
2024,1. Participation rate in education and training in the last 4 weeks,Males,25-34 years,26.4
2024,1. Participation rate in education and training in the last 4 weeks,Males,35-44 years,18.6
2024,1. Participation rate in education and training in the last 4 weeks,Males,45-54 years,15.5
2024,1. Participation rate in education and training in the last 4 weeks,Males,55-74 years,5.4
2010,2. Tertiary educational attainment by sex,Both Sexes,,24.3
2010,2. Tertiary educational attainment by sex,Females,,28.1
2010,2. Tertiary educational attainment by sex,Males,,20.7
2011,2. Tertiary educational attainment by sex,Both Sexes,,26.2
2011,2. Tertiary educational attainment by sex,Females,,29.2
2011,2. Tertiary educational attainment by sex,Males,,23.4
2012,2. Tertiary educational attainment by sex,Both Sexes,,28.3
2012,2. Tertiary educational attainment by sex,Females,,32.1
2012,2. Tertiary educational attainment by sex,Males,,24.7
2013,2. Tertiary educational attainment by sex,Both Sexes,,31.1
2013,2. Tertiary educational attainment by sex,Females,,36.7
2013,2. Tertiary educational attainment by sex,Males,,25.8
2014,2. Tertiary educational attainment by sex,Both Sexes,,31.3
2014,2. Tertiary educational attainment by sex,Females,,36.1
2014,2. Tertiary educational attainment by sex,Males,,26.8
2015,2. Tertiary educational attainment by sex,Both Sexes,,31.9
2015,2. Tertiary educational attainment by sex,Females,,36.9
2015,2. Tertiary educational attainment by sex,Males,,27.3
2016,2. Tertiary educational attainment by sex,Both Sexes,,34.3
2016,2. Tertiary educational attainment by sex,Females,,38.3
2016,2. Tertiary educational attainment by sex,Males,,30.7
2017,2. Tertiary educational attainment by sex,Both Sexes,,34.9
2017,2. Tertiary educational attainment by sex,Females,,37.7
2017,2. Tertiary educational attainment by sex,Males,,32.4
2018,2. Tertiary educational attainment by sex,Both Sexes,,40.2
2018,2. Tertiary educational attainment by sex,Females,,44.8
2018,2. Tertiary educational attainment by sex,Males,,36.0
2019,2. Tertiary educational attainment by sex,Both Sexes,,41.0
2019,2. Tertiary educational attainment by sex,Females,,48.0
2019,2. Tertiary educational attainment by sex,Males,,35.0
2020,2. Tertiary educational attainment by sex,Both Sexes,,40.2
2020,2. Tertiary educational attainment by sex,Females,,44.8
2020,2. Tertiary educational attainment by sex,Males,,36.2
2021,2. Tertiary educational attainment by sex,Both Sexes,,42.9
2021,2. Tertiary educational attainment by sex,Females,,50.5
2021,2. Tertiary educational attainment by sex,Males,,36.6
2022,2. Tertiary educational attainment by sex,Both Sexes,,42.5
2022,2. Tertiary educational attainment by sex,Females,,48.0
2022,2. Tertiary educational attainment by sex,Males,,38.2
2023,2. Tertiary educational attainment by sex,Both Sexes,,46.2
2023,2. Tertiary educational attainment by sex,Females,,53.9
2023,2. Tertiary educational attainment by sex,Males,,40.4
2024,2. Tertiary educational attainment by sex,Both Sexes,,46.9
2024,2. Tertiary educational attainment by sex,Females,,56.7
2024,2. Tertiary educational attainment by sex,Males,,39.8
