Year,Series,Sex,Age,Units,Value
2021,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,<18Y,Percentage (%),19.6
2022,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,<18Y,Percentage (%),19.3
2023,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,<18Y,Percentage (%),22.0
2010,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,18-64,Percentage (%),13.1
2011,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,18-64,Percentage (%),13.1
2012,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,18-64,Percentage (%),12.4
2013,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,18-64,Percentage (%),13.5
2014,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,18-64,Percentage (%),13.1
2015,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,18-64,Percentage (%),13.4
2016,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,18-64,Percentage (%),13.3
2017,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,18-64,Percentage (%),13.2
2018,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,18-64,Percentage (%),13.3
2019,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,18-64,Percentage (%),13.2
2020,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,18-64,Percentage (%),13.5
2021,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,18-64,Percentage (%),13.1
2022,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,18-64,Percentage (%),12.3
2023,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,18-64,Percentage (%),12.1
2010,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,65+,Percentage (%),18.2
2011,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,65+,Percentage (%),17.6
2012,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,65+,Percentage (%),17.3
2013,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,65+,Percentage (%),14.9
2014,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,65+,Percentage (%),17.0
2015,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,65+,Percentage (%),21.3
2016,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,65+,Percentage (%),23.9
2017,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,65+,Percentage (%),24.9
2018,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,65+,Percentage (%),25.4
2019,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,65+,Percentage (%),27.7
2020,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,65+,Percentage (%),26.3
2021,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,65+,Percentage (%),28.1
2022,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,65+,Percentage (%),30.0
2023,"Proportion of population living below the national poverty line, by sex and age",Both Sexes,65+,Percentage (%),29.0
2015,Persons at risk of monetary poverty after social transfers,,,Thousand Persons,72.0
2016,Persons at risk of monetary poverty after social transfers,,,Thousand Persons,73.0
2017,Persons at risk of monetary poverty after social transfers,,,Thousand Persons,76.0
2018,Persons at risk of monetary poverty after social transfers,,,Thousand Persons,79.0
2019,Persons at risk of monetary poverty after social transfers,,,Thousand Persons,83.0
2020,Persons at risk of monetary poverty after social transfers,,,Thousand Persons,85.0
2021,Persons at risk of monetary poverty after social transfers,,,Thousand Persons,86.0
2022,Persons at risk of monetary poverty after social transfers,,,Thousand Persons,86.0
2023,Persons at risk of monetary poverty after social transfers,,,Thousand Persons,88.0
