Year,Series,Type of waste treatment,Units,Value
2022,8. Municipal waste treated by type of treatment,Recycling,Tonnes,40272.0
2022,8. Municipal waste treated by type of treatment,Preparing for re-use,Tonnes,1031.49
2023,8. Municipal waste treated by type of treatment,Incineration,Tonnes,22.9
2023,8. Municipal waste treated by type of treatment,Composting,Tonnes,0.0
2023,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,9073.75
2023,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,247071.24
2023,8. Municipal waste treated by type of treatment,Recycling,Tonnes,56402.35
2023,8. Municipal waste treated by type of treatment,Preparing for re-use,Tonnes,1302.98
2010,"9. Total waste generation, by activity",Mining and quarrying,Tonnes,54950.0
2010,"9. Total waste generation, by activity","Agriculture, forestry and fishing",Tonnes,2887.0
2010,"9. Total waste generation, by activity",Manufacturing,Tonnes,9078.0
2010,"9. Total waste generation, by activity",Total,Tonnes,1345258.0
2010,"9. Total waste generation, by activity",Construction,Tonnes,929609.0
2010,"9. Total waste generation, by activity",Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Tonnes,157740.0
2010,"9. Total waste generation, by activity","Electricity, gas, steam and air conditioning supply",Tonnes,109.0
2010,"9. Total waste generation, by activity",Water supply; sewerage; waste management and remediation activities,Tonnes,59317.0
2010,"9. Total waste generation, by activity",Services (except wholesale of waste and scrap),Tonnes,131568.0
2010,"9. Total waste generation, by activity",Wholesale of waste and scrap,Tonnes,0.0
2012,"9. Total waste generation, by activity","Electricity, gas, steam and air conditioning supply",Tonnes,1741.0
2012,"9. Total waste generation, by activity",Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Tonnes,149603.0
2012,"9. Total waste generation, by activity",Construction,Tonnes,1044089.0
2012,"9. Total waste generation, by activity",Total,Tonnes,1527188.0
2012,"9. Total waste generation, by activity",Manufacturing,Tonnes,24702.0
2012,"9. Total waste generation, by activity","Agriculture, forestry and fishing",Tonnes,2709.0
2012,"9. Total waste generation, by activity",Mining and quarrying,Tonnes,58042.0
2012,"9. Total waste generation, by activity",Water supply; sewerage; waste management and remediation activities,Tonnes,115757.0
2012,"9. Total waste generation, by activity",Services (except wholesale of waste and scrap),Tonnes,130453.0
2012,"9. Total waste generation, by activity",Wholesale of waste and scrap,Tonnes,93.0
2014,"9. Total waste generation, by activity",Mining and quarrying,Tonnes,43838.0
2014,"9. Total waste generation, by activity","Agriculture, forestry and fishing",Tonnes,3018.0
2014,"9. Total waste generation, by activity",Manufacturing,Tonnes,24523.0
2014,"9. Total waste generation, by activity",Total,Tonnes,1720791.0
2014,"9. Total waste generation, by activity",Construction,Tonnes,1241079.0
2014,"9. Total waste generation, by activity",Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Tonnes,154630.0
2014,"9. Total waste generation, by activity","Electricity, gas, steam and air conditioning supply",Tonnes,3914.0
2014,"9. Total waste generation, by activity",Water supply; sewerage; waste management and remediation activities,Tonnes,115059.0
2014,"9. Total waste generation, by activity",Services (except wholesale of waste and scrap),Tonnes,134720.0
2014,"9. Total waste generation, by activity",Wholesale of waste and scrap,Tonnes,11.0
2016,"9. Total waste generation, by activity","Electricity, gas, steam and air conditioning supply",Tonnes,2935.0
2016,"9. Total waste generation, by activity",Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Tonnes,166105.0
2016,"9. Total waste generation, by activity",Construction,Tonnes,1334053.0
2016,"9. Total waste generation, by activity",Manufacturing,Tonnes,27068.0
2016,"9. Total waste generation, by activity","Agriculture, forestry and fishing",Tonnes,10565.0
2016,"9. Total waste generation, by activity",Mining and quarrying,Tonnes,158209.0
2016,"9. Total waste generation, by activity",Total,Tonnes,1994147.0
2016,"9. Total waste generation, by activity",Water supply; sewerage; waste management and remediation activities,Tonnes,153146.0
2016,"9. Total waste generation, by activity",Services (except wholesale of waste and scrap),Tonnes,142007.0
2016,"9. Total waste generation, by activity",Wholesale of waste and scrap,Tonnes,60.0
2018,"9. Total waste generation, by activity",Total,Tonnes,2586215.0
2018,"9. Total waste generation, by activity",Mining and quarrying,Tonnes,41284.0
2018,"9. Total waste generation, by activity","Agriculture, forestry and fishing",Tonnes,12292.0
2018,"9. Total waste generation, by activity",Manufacturing,Tonnes,26323.0
2018,"9. Total waste generation, by activity","Electricity, gas, steam and air conditioning supply",Tonnes,320.0
2018,"9. Total waste generation, by activity",Construction,Tonnes,1974801.0
2018,"9. Total waste generation, by activity",Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Tonnes,186471.0
2018,"9. Total waste generation, by activity",Water supply; sewerage; waste management and remediation activities,Tonnes,199879.0
2018,"9. Total waste generation, by activity",Services (except wholesale of waste and scrap),Tonnes,144829.0
2018,"9. Total waste generation, by activity",Wholesale of waste and scrap,Tonnes,16.0
2020,"9. Total waste generation, by activity",Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Tonnes,197539.0
2020,"9. Total waste generation, by activity",Construction,Tonnes,3010732.0
2020,"9. Total waste generation, by activity","Electricity, gas, steam and air conditioning supply",Tonnes,22.0
2020,"9. Total waste generation, by activity",Manufacturing,Tonnes,30185.0
2020,"9. Total waste generation, by activity",Mining and quarrying,Tonnes,37945.0
2020,"9. Total waste generation, by activity","Agriculture, forestry and fishing",Tonnes,11851.0
2020,"9. Total waste generation, by activity",Total,Tonnes,3575343.0
2020,"9. Total waste generation, by activity",Water supply; sewerage; waste management and remediation activities,Tonnes,133985.0
2020,"9. Total waste generation, by activity",Services (except wholesale of waste and scrap),Tonnes,149336.0
2020,"9. Total waste generation, by activity",Wholesale of waste and scrap,Tonnes,3747.0
2022,"9. Total waste generation, by activity",Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Tonnes,196938.0
2022,"9. Total waste generation, by activity",Construction,Tonnes,2067957.0
2022,"9. Total waste generation, by activity","Electricity, gas, steam and air conditioning supply",Tonnes,71.0
2022,"9. Total waste generation, by activity",Manufacturing,Tonnes,23593.0
2022,"9. Total waste generation, by activity",Mining and quarrying,Tonnes,40341.0
2022,"9. Total waste generation, by activity","Agriculture, forestry and fishing",Tonnes,3733.0
2022,"9. Total waste generation, by activity",Total,Tonnes,2659780.0
2022,"9. Total waste generation, by activity",Water supply; sewerage; waste management and remediation activities,Tonnes,169821.0
2022,"9. Total waste generation, by activity",Services (except wholesale of waste and scrap),Tonnes,156040.0
2022,"9. Total waste generation, by activity",Wholesale of waste and scrap,Tonnes,1286.0
2010,10. Proportion of hazardous waste treated or disposed,,Percentage,1.46
2012,10. Proportion of hazardous waste treated or disposed,,Percentage,1.31
2014,10. Proportion of hazardous waste treated or disposed,,Percentage,1.19
2016,10. Proportion of hazardous waste treated or disposed,,Percentage,0.35
2018,10. Proportion of hazardous waste treated or disposed,,Percentage,1.43
2020,10. Proportion of hazardous waste treated or disposed,,Percentage,1.54
2022,10. Proportion of hazardous waste treated or disposed,,Percentage,0.54
2010,11. Municipal waste generated,,Tonnes,258000.0
2011,11. Municipal waste generated,,Tonnes,259000.0
2012,11. Municipal waste generated,,Tonnes,257000.0
2013,11. Municipal waste generated,,Tonnes,257000.0
2014,11. Municipal waste generated,,Tonnes,273000.0
2015,11. Municipal waste generated,,Tonnes,285000.0
2016,11. Municipal waste generated,,Tonnes,292000.0
2017,11. Municipal waste generated,,Tonnes,312000.0
2018,11. Municipal waste generated,,Tonnes,326000.0
2019,11. Municipal waste generated,,Tonnes,351000.0
2020,11. Municipal waste generated,,Tonnes,331000.0
2021,11. Municipal waste generated,,Tonnes,317000.0
2022,11. Municipal waste generated,,Tonnes,328000.0
2010,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.02
2010,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.0
2010,"12. Proportion of municipal waste treated, by type of treatment",Landfilling,Percentage,87.43
2010,"12. Proportion of municipal waste treated, by type of treatment",Composting,Percentage,0.0
2010,"12. Proportion of municipal waste treated, by type of treatment",Recycling,Percentage,8.79
2010,"12. Proportion of municipal waste treated, by type of treatment",Preparing for re-use,Percentage,0.0
2011,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,1.0
2011,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.05
2011,"12. Proportion of municipal waste treated, by type of treatment",Landfilling,Percentage,82.36
2011,"12. Proportion of municipal waste treated, by type of treatment",Composting,Percentage,1.1
2011,"12. Proportion of municipal waste treated, by type of treatment",Recycling,Percentage,14.3
2011,"12. Proportion of municipal waste treated, by type of treatment",Preparing for re-use,Percentage,0.0
2012,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.01
2012,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.4
2012,"12. Proportion of municipal waste treated, by type of treatment",Landfilling,Percentage,82.24
2012,"12. Proportion of municipal waste treated, by type of treatment",Composting,Percentage,2.0
2012,"12. Proportion of municipal waste treated, by type of treatment",Recycling,Percentage,12.6
2012,"12. Proportion of municipal waste treated, by type of treatment",Preparing for re-use,Percentage,0.0
2013,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.02
2013,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.2
2013,"12. Proportion of municipal waste treated, by type of treatment",Landfilling,Percentage,82.01
2013,"12. Proportion of municipal waste treated, by type of treatment",Composting,Percentage,0.0
2013,"12. Proportion of municipal waste treated, by type of treatment",Recycling,Percentage,12.5
2013,"12. Proportion of municipal waste treated, by type of treatment",Preparing for re-use,Percentage,0.0
2014,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.3
2014,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.02
2014,"12. Proportion of municipal waste treated, by type of treatment",Landfilling,Percentage,80.4
2014,"12. Proportion of municipal waste treated, by type of treatment",Composting,Percentage,0.0
2014,"12. Proportion of municipal waste treated, by type of treatment",Recycling,Percentage,11.7
2014,"12. Proportion of municipal waste treated, by type of treatment",Preparing for re-use,Percentage,0.0
2015,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.01
2015,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.3
2015,"12. Proportion of municipal waste treated, by type of treatment",Landfilling,Percentage,105.16
2015,"12. Proportion of municipal waste treated, by type of treatment",Composting,Percentage,0.0
2015,"12. Proportion of municipal waste treated, by type of treatment",Recycling,Percentage,10.9
2015,"12. Proportion of municipal waste treated, by type of treatment",Preparing for re-use,Percentage,0.0
2016,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.3
2016,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.01
2016,"12. Proportion of municipal waste treated, by type of treatment",Landfilling,Percentage,75.89
2016,"12. Proportion of municipal waste treated, by type of treatment",Composting,Percentage,0.0
2016,"12. Proportion of municipal waste treated, by type of treatment",Recycling,Percentage,12.6
2016,"12. Proportion of municipal waste treated, by type of treatment",Preparing for re-use,Percentage,0.0
2017,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.01
2017,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.0
2017,"12. Proportion of municipal waste treated, by type of treatment",Landfilling,Percentage,79.6
2017,"12. Proportion of municipal waste treated, by type of treatment",Composting,Percentage,0.0
2017,"12. Proportion of municipal waste treated, by type of treatment",Recycling,Percentage,11.5
2017,"12. Proportion of municipal waste treated, by type of treatment",Preparing for re-use,Percentage,0.0
2018,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.0
2018,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.0
2018,"12. Proportion of municipal waste treated, by type of treatment",Landfilling,Percentage,83.5
2018,"12. Proportion of municipal waste treated, by type of treatment",Composting,Percentage,0.0
2018,"12. Proportion of municipal waste treated, by type of treatment",Recycling,Percentage,10.5
2018,"12. Proportion of municipal waste treated, by type of treatment",Preparing for re-use,Percentage,0.0
2019,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.0
2019,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.0
2019,"12. Proportion of municipal waste treated, by type of treatment",Landfilling,Percentage,91.3
2019,"12. Proportion of municipal waste treated, by type of treatment",Composting,Percentage,0.0
2019,"12. Proportion of municipal waste treated, by type of treatment",Recycling,Percentage,9.1
2019,"12. Proportion of municipal waste treated, by type of treatment",Preparing for re-use,Percentage,0.0
2020,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.0
2020,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.02
2020,"12. Proportion of municipal waste treated, by type of treatment",Landfilling,Percentage,82.7
2020,"12. Proportion of municipal waste treated, by type of treatment",Composting,Percentage,0.0
2020,"12. Proportion of municipal waste treated, by type of treatment",Recycling,Percentage,10.9
2020,"12. Proportion of municipal waste treated, by type of treatment",Preparing for re-use,Percentage,0.0
2021,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.04
2021,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,4.0
2021,"12. Proportion of municipal waste treated, by type of treatment",Landfilling,Percentage,85.1
2021,"12. Proportion of municipal waste treated, by type of treatment",Composting,Percentage,0.0
2021,"12. Proportion of municipal waste treated, by type of treatment",Recycling,Percentage,13.2
2021,"12. Proportion of municipal waste treated, by type of treatment",Preparing for re-use,Percentage,0.0
2022,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.0
2022,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,1.2
2022,"12. Proportion of municipal waste treated, by type of treatment",Landfilling,Percentage,83.2
2022,"12. Proportion of municipal waste treated, by type of treatment",Composting,Percentage,0.0
2022,"12. Proportion of municipal waste treated, by type of treatment",Recycling,Percentage,12.3
2022,"12. Proportion of municipal waste treated, by type of treatment",Preparing for re-use,Percentage,0.3
2023,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.01
2023,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,2.7
2023,"12. Proportion of municipal waste treated, by type of treatment",Landfilling,Percentage,73.8
2023,"12. Proportion of municipal waste treated, by type of treatment",Composting,Percentage,0.0
2023,"12. Proportion of municipal waste treated, by type of treatment",Recycling,Percentage,16.8
2023,"12. Proportion of municipal waste treated, by type of treatment",Preparing for re-use,Percentage,0.4
2010,"13. Hazardous waste generated, per unit of GDP",,kilograms per constant 2015 United States dollars,0.003
2012,"13. Hazardous waste generated, per unit of GDP",,kilograms per constant 2015 United States dollars,0.004
2014,"13. Hazardous waste generated, per unit of GDP",,kilograms per constant 2015 United States dollars,0.004
2016,"13. Hazardous waste generated, per unit of GDP",,kilograms per constant 2015 United States dollars,0.012
2018,"13. Hazardous waste generated, per unit of GDP",,kilograms per constant 2015 United States dollars,0.002
2020,"13. Hazardous waste generated, per unit of GDP",,kilograms per constant 2015 United States dollars,0.003
2016,14. WEEE Collection Rate based on POM,,Percentage,16.0
2017,14. WEEE Collection Rate based on POM,,Percentage,22.0
2018,14. WEEE Collection Rate based on POM,,Percentage,27.0
2019,14. WEEE Collection Rate based on POM,,Percentage,40.0
2020,14. WEEE Collection Rate based on POM,,Percentage,32.0
2021,14. WEEE Collection Rate based on POM,,Percentage,26.0
2022,14. WEEE Collection Rate based on POM,,Percentage,27.0
