Year,Series,Poverty Status,Units,Value
2022,5. Housing cost overburden rate by poverty status,Above 60% of median equivalised income,Percentage,1.0
2023,5. Housing cost overburden rate by poverty status,Above 60% of median equivalised income,Percentage,2.3
2015,6. Material deprivation for the housing dimension,,Percentage,15.5
2016,6. Material deprivation for the housing dimension,,Percentage,14.7
2017,6. Material deprivation for the housing dimension,,Percentage,13.9
2018,6. Material deprivation for the housing dimension,,Percentage,15.8
2019,6. Material deprivation for the housing dimension,,Percentage,15.1
2020,6. Material deprivation for the housing dimension,,Percentage,14.1
2021,6. Material deprivation for the housing dimension,,Percentage,15.1
2022,6. Material deprivation for the housing dimension,,Percentage,14.0
2023,6. Material deprivation for the housing dimension,,Percentage,15.3
2015,7. Population living in households with moisture damages,,Percentage,10.1
2016,7. Population living in households with moisture damages,,Percentage,9.1
2017,7. Population living in households with moisture damages,,Percentage,8.4
2018,7. Population living in households with moisture damages,,Percentage,7.1
2019,7. Population living in households with moisture damages,,Percentage,7.6
2020,7. Population living in households with moisture damages,,Percentage,6.1
2021,7. Population living in households with moisture damages,,Percentage,6.2
2022,7. Population living in households with moisture damages,,Percentage,5.7
2023,7. Population living in households with moisture damages,,Percentage,7.2
2015,8. Population considering their dwelling as too dark,,Percentage,7.2
2016,8. Population considering their dwelling as too dark,,Percentage,7.2
2017,8. Population considering their dwelling as too dark,,Percentage,6.9
2018,8. Population considering their dwelling as too dark,,Percentage,11.2
2019,8. Population considering their dwelling as too dark,,Percentage,10.0
2020,8. Population considering their dwelling as too dark,,Percentage,9.4
2021,8. Population considering their dwelling as too dark,,Percentage,10.3
2022,8. Population considering their dwelling as too dark,,Percentage,9.3
2023,8. Population considering their dwelling as too dark,,Percentage,9.3
2011,9. Number of residential dwellings per capita,,Ratio,0.55
2021,9. Number of residential dwellings per capita,,Ratio,0.58
