Year,Series,Sex,Age,Citizenship,Value
2011,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,13.7
2012,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,13.2
2013,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,13.5
2014,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,13.6
2015,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,14.8
2016,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,15.4
2017,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,15.4
2018,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,15.6
2019,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,15.9
2020,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,15.9
2021,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,15.9
2022,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,15.7
2023,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,12.8
2010,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,21.8
2011,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,21.2
2012,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,19.8
2013,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,22.2
2014,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,21.6
2015,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,22.7
2016,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,19.6
2017,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,24.3
2018,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,23.3
2019,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,23.6
2020,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,21.6
2021,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,23.4
2022,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,26.5
2023,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,23.8
2010,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,19.8
2011,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,20.6
2012,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,21.2
2013,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,22.7
2014,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,22.0
2015,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,20.8
2016,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,19.3
2017,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,18.1
2018,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,18.0
2019,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,19.8
2020,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,19.2
2021,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,19.4
2022,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,19.1
2023,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,15.8
2010,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,26.4
2011,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,25.8
2012,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,25.7
2013,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,26.2
2014,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,26.3
2015,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,27.6
2016,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,22.4
2017,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,28.0
2018,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,24.9
2019,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,26.2
2020,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,24.4
2021,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,27.1
2022,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,27.4
2023,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,27.3
