Year,Series,Activity,Units,Value
2013,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added,,Kgs of CO2 per constant 2015 US$,0.06
2014,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added,,Kgs of CO2 per constant 2015 US$,0.07
2015,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added,,Kgs of CO2 per constant 2015 US$,0.06
2016,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added,,Kgs of CO2 per constant 2015 US$,0.06
2017,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added,,Kgs of CO2 per constant 2015 US$,0.06
2018,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added,,Kgs of CO2 per constant 2015 US$,0.04
2019,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added,,Kgs of CO2 per constant 2015 US$,0.05
2020,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added,,Kgs of CO2 per constant 2015 US$,0.04
2021,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added,,Kgs of CO2 per constant 2015 US$,0.04
2022,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added,,Kgs of CO2 per constant 2015 US$,0.04
2010,4. CO2 emissions per unit of value added,,Kgs of CO2 emissions per Euro,0.34
2011,4. CO2 emissions per unit of value added,,Kgs of CO2 emissions per Euro,0.34
2012,4. CO2 emissions per unit of value added,,Kgs of CO2 emissions per Euro,0.35
2013,4. CO2 emissions per unit of value added,,Kgs of CO2 emissions per Euro,0.29
2014,4. CO2 emissions per unit of value added,,Kgs of CO2 emissions per Euro,0.28
2015,4. CO2 emissions per unit of value added,,Kgs of CO2 emissions per Euro,0.19
2016,4. CO2 emissions per unit of value added,,Kgs of CO2 emissions per Euro,0.15
2017,4. CO2 emissions per unit of value added,,Kgs of CO2 emissions per Euro,0.15
2018,4. CO2 emissions per unit of value added,,Kgs of CO2 emissions per Euro,0.15
2019,4. CO2 emissions per unit of value added,,Kgs of CO2 emissions per Euro,0.18
2020,4. CO2 emissions per unit of value added,,Kgs of CO2 emissions per Euro,0.17
2021,4. CO2 emissions per unit of value added,,Kgs of CO2 emissions per Euro,0.18
2022,4. CO2 emissions per unit of value added,,Kgs of CO2 emissions per Euro,0.21
