Year,Series,Age,Sex,Type of Occupation,Court Level,Units,Value
2022,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Total national-level public service personnel,,Ratio,1.11
2023,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Total national-level public service personnel,,Ratio,1.12
2024,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Total national-level public service personnel,,Ratio,1.13
2025,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Total national-level public service personnel,,Ratio,1.13
2022,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Total national-level public service personnel,,Ratio,0.89
2023,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Total national-level public service personnel,,Ratio,0.88
2024,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Total national-level public service personnel,,Ratio,0.87
2025,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Total national-level public service personnel,,Ratio,0.87
2020,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Constitutional Courts,Ratio,0.0
2020,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Higher Courts,Ratio,0.57
2020,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Lower Courts,Ratio,1.38
2020,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Total,Ratio,1.14
2021,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Constitutional Courts,Ratio,0.0
2021,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Higher Courts,Ratio,0.84
2021,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Lower Courts,Ratio,1.57
2021,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Total,Ratio,1.11
2022,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Constitutional Courts,Ratio,0.0
2022,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Higher Courts,Ratio,0.95
2022,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Lower Courts,Ratio,1.52
2022,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Total,Ratio,1.11
2023,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Constitutional Courts,Ratio,0.25
2023,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Higher Courts,Ratio,1.0
2023,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Lower Courts,Ratio,1.42
2023,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Total,Ratio,1.08
2024,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Constitutional Courts,Ratio,0.44
2024,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Higher Courts,Ratio,1.0
2024,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Lower Courts,Ratio,1.31
2024,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Females,,Total,Ratio,1.07
2020,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Constitutional Courts,Ratio,2.0
2020,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Higher Courts,Ratio,1.43
2020,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Lower Courts,Ratio,0.63
2020,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Total,Ratio,0.86
2021,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Constitutional Courts,Ratio,2.0
2021,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Higher Courts,Ratio,1.16
2021,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Lower Courts,Ratio,0.43
2021,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Total,Ratio,0.89
2022,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Constitutional Courts,Ratio,2.0
2022,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Higher Courts,Ratio,1.05
2022,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Lower Courts,Ratio,0.48
2022,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Total,Ratio,0.89
2023,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Constitutional Courts,Ratio,1.75
2023,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Higher Courts,Ratio,1.0
2023,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Lower Courts,Ratio,0.58
2023,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Total,Ratio,0.92
2024,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Constitutional Courts,Ratio,1.56
2024,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Higher Courts,Ratio,1.0
2024,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Lower Courts,Ratio,0.69
2024,3. Proportion of positions in the judiciary compared to national distributions,All Ages,Males,,Total,Ratio,0.93
2013,4. Number of parliamentarians,,Males,,,Number,63.0
2013,4. Number of parliamentarians,,Females,,,Number,8.0
2013,4. Number of parliamentarians,,Both Sexes,,,Number,71.0
2017,4. Number of parliamentarians,,Males,,,Number,57.0
2017,4. Number of parliamentarians,,Females,,,Number,10.0
2017,4. Number of parliamentarians,,Both Sexes,,,Number,67.0
2022,4. Number of parliamentarians,,Males,,,Number,56.0
2022,4. Number of parliamentarians,,Females,,,Number,23.0
2022,4. Number of parliamentarians,,Both Sexes,,,Number,79.0
