Year,Series,Location,Mobile Network,Value
2021,2. Proportion of population using basic sanitation services,Rural,,100.0
2021,2. Proportion of population using basic sanitation services,Urban,,99.9625
2022,2. Proportion of population using basic sanitation services,Urban,,99.9625
2022,2. Proportion of population using basic sanitation services,All Areas,,99.96442
2022,2. Proportion of population using basic sanitation services,Rural,,100.0
2010,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,,100.0
2011,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,,100.0
2012,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,,100.0
2013,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,,100.0
2014,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,,100.0
2015,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,,100.0
2016,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,,100.0
2017,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,,100.0
2018,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,,100.0
2019,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,,100.0
2020,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,,100.0
2021,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,,100.0
2022,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,,100.0
2023,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,,100.0
2010,4. Proportion of the rural population who live within 2 km of an all-season road,,,100.0
2011,4. Proportion of the rural population who live within 2 km of an all-season road,,,100.0
2012,4. Proportion of the rural population who live within 2 km of an all-season road,,,100.0
2013,4. Proportion of the rural population who live within 2 km of an all-season road,,,100.0
2014,4. Proportion of the rural population who live within 2 km of an all-season road,,,100.0
2015,4. Proportion of the rural population who live within 2 km of an all-season road,,,100.0
2016,4. Proportion of the rural population who live within 2 km of an all-season road,,,100.0
2017,4. Proportion of the rural population who live within 2 km of an all-season road,,,100.0
2018,4. Proportion of the rural population who live within 2 km of an all-season road,,,100.0
2019,4. Proportion of the rural population who live within 2 km of an all-season road,,,100.0
2020,4. Proportion of the rural population who live within 2 km of an all-season road,,,100.0
2021,4. Proportion of the rural population who live within 2 km of an all-season road,,,100.0
2022,4. Proportion of the rural population who live within 2 km of an all-season road,,,100.0
2023,4. Proportion of the rural population who live within 2 km of an all-season road,,,100.0
2024,4. Proportion of the rural population who live within 2 km of an all-season road,,,100.0
2010,5. Percentage of population with primary reliance on clean fuels and technology,,,100.0
2011,5. Percentage of population with primary reliance on clean fuels and technology,,,100.0
2012,5. Percentage of population with primary reliance on clean fuels and technology,,,100.0
2013,5. Percentage of population with primary reliance on clean fuels and technology,,,100.0
2014,5. Percentage of population with primary reliance on clean fuels and technology,,,100.0
2015,5. Percentage of population with primary reliance on clean fuels and technology,,,100.0
2016,5. Percentage of population with primary reliance on clean fuels and technology,,,100.0
2017,5. Percentage of population with primary reliance on clean fuels and technology,,,100.0
2018,5. Percentage of population with primary reliance on clean fuels and technology,,,100.0
2019,5. Percentage of population with primary reliance on clean fuels and technology,,,100.0
2020,5. Percentage of population with primary reliance on clean fuels and technology,,,100.0
2021,5. Percentage of population with primary reliance on clean fuels and technology,,,100.0
2022,5. Percentage of population with primary reliance on clean fuels and technology,,,100.0
2010,"6. Proportion of population covered by a mobile network, by technology",,At least 2G,100.0
2011,"6. Proportion of population covered by a mobile network, by technology",,At least 2G,100.0
2012,"6. Proportion of population covered by a mobile network, by technology",,At least 2G,100.0
2013,"6. Proportion of population covered by a mobile network, by technology",,At least 2G,100.0
2014,"6. Proportion of population covered by a mobile network, by technology",,At least 2G,100.0
2015,"6. Proportion of population covered by a mobile network, by technology",,At least 2G,100.0
2016,"6. Proportion of population covered by a mobile network, by technology",,At least 2G,100.0
2017,"6. Proportion of population covered by a mobile network, by technology",,At least 2G,100.0
2018,"6. Proportion of population covered by a mobile network, by technology",,At least 2G,100.0
2019,"6. Proportion of population covered by a mobile network, by technology",,At least 2G,100.0
2020,"6. Proportion of population covered by a mobile network, by technology",,At least 2G,100.0
2021,"6. Proportion of population covered by a mobile network, by technology",,At least 2G,100.0
2022,"6. Proportion of population covered by a mobile network, by technology",,At least 2G,100.0
2023,"6. Proportion of population covered by a mobile network, by technology",,At least 2G,100.0
2024,"6. Proportion of population covered by a mobile network, by technology",,At least 2G,100.0
2012,"6. Proportion of population covered by a mobile network, by technology",,At least 3G,89.0
2013,"6. Proportion of population covered by a mobile network, by technology",,At least 3G,96.0
2014,"6. Proportion of population covered by a mobile network, by technology",,At least 3G,99.0
2015,"6. Proportion of population covered by a mobile network, by technology",,At least 3G,100.0
2016,"6. Proportion of population covered by a mobile network, by technology",,At least 3G,100.0
2017,"6. Proportion of population covered by a mobile network, by technology",,At least 3G,100.0
2018,"6. Proportion of population covered by a mobile network, by technology",,At least 3G,100.0
2019,"6. Proportion of population covered by a mobile network, by technology",,At least 3G,100.0
2020,"6. Proportion of population covered by a mobile network, by technology",,At least 3G,100.0
2021,"6. Proportion of population covered by a mobile network, by technology",,At least 3G,100.0
2022,"6. Proportion of population covered by a mobile network, by technology",,At least 3G,100.0
2023,"6. Proportion of population covered by a mobile network, by technology",,At least 3G,100.0
2024,"6. Proportion of population covered by a mobile network, by technology",,At least 3G,100.0
2013,"6. Proportion of population covered by a mobile network, by technology",,At least 4G,30.0
2014,"6. Proportion of population covered by a mobile network, by technology",,At least 4G,62.0
2015,"6. Proportion of population covered by a mobile network, by technology",,At least 4G,100.0
2016,"6. Proportion of population covered by a mobile network, by technology",,At least 4G,100.0
2017,"6. Proportion of population covered by a mobile network, by technology",,At least 4G,100.0
2018,"6. Proportion of population covered by a mobile network, by technology",,At least 4G,100.0
2019,"6. Proportion of population covered by a mobile network, by technology",,At least 4G,100.0
2020,"6. Proportion of population covered by a mobile network, by technology",,At least 4G,100.0
2021,"6. Proportion of population covered by a mobile network, by technology",,At least 4G,100.0
2022,"6. Proportion of population covered by a mobile network, by technology",,At least 4G,100.0
2023,"6. Proportion of population covered by a mobile network, by technology",,At least 4G,100.0
2024,"6. Proportion of population covered by a mobile network, by technology",,At least 4G,100.0
2019,"6. Proportion of population covered by a mobile network, by technology",,At least 5G,0.0
2020,"6. Proportion of population covered by a mobile network, by technology",,At least 5G,0.0
2021,"6. Proportion of population covered by a mobile network, by technology",,At least 5G,25.0
2022,"6. Proportion of population covered by a mobile network, by technology",,At least 5G,100.0
2023,"6. Proportion of population covered by a mobile network, by technology",,At least 5G,100.0
2024,"6. Proportion of population covered by a mobile network, by technology",,At least 5G,100.0
