Year,Series,Poverty Status,Units,Value
2020,6. Material deprivation for the housing dimension,,Percentage (%),14.1
2020,7. Population living in households with moisture damages,,Percentage (%),6.1
2020,8. Population considering their dwelling as too dark,,Percentage (%),9.4
2021,1. Proportion of urban population living in inadequate housing,,Percentage (%),6.4
2021,3. Share of persons living in overcrowded households,,Percentage (%),2.9
2021,4. Population living in an area with noise pollution,,Percentage (%),31.5
2021,5. Housing cost overburden rate by poverty status,Above 60% of median equivalised income,Percentage (%),0.7
2021,5. Housing cost overburden rate by poverty status,All Statuses,Percentage (%),2.7
2021,5. Housing cost overburden rate by poverty status,Below 60% of median equivalised income,Percentage (%),12.2
2021,6. Material deprivation for the housing dimension,,Percentage (%),15.1
2021,7. Population living in households with moisture damages,,Percentage (%),6.2
2021,8. Population considering their dwelling as too dark,,Percentage (%),10.3
2021,9. Number of residential dwellings per capita,,Ratio,0.58
2022,1. Proportion of urban population living in inadequate housing,,Percentage (%),6.8
2022,2. Proportion of urban population living in slums,,Percentage (%),0.04
2022,3. Share of persons living in overcrowded households,,Percentage (%),2.8
2022,4. Population living in an area with noise pollution,,Percentage (%),27.6
2022,5. Housing cost overburden rate by poverty status,Above 60% of median equivalised income,Percentage (%),1.0
2022,5. Housing cost overburden rate by poverty status,All Statuses,Percentage (%),2.9
2022,5. Housing cost overburden rate by poverty status,Below 60% of median equivalised income,Percentage (%),12.1
2022,6. Material deprivation for the housing dimension,,Percentage (%),14.0
2022,7. Population living in households with moisture damages,,Percentage (%),5.7
2022,8. Population considering their dwelling as too dark,,Percentage (%),9.3
2023,1. Proportion of urban population living in inadequate housing,,Percentage (%),11.5
2023,3. Share of persons living in overcrowded households,,Percentage (%),2.4
2023,4. Population living in an area with noise pollution,,Percentage (%),31.3
2023,5. Housing cost overburden rate by poverty status,Above 60% of median equivalised income,Percentage (%),2.3
2023,5. Housing cost overburden rate by poverty status,All Statuses,Percentage (%),6.0
2023,5. Housing cost overburden rate by poverty status,Below 60% of median equivalised income,Percentage (%),24.8
2023,6. Material deprivation for the housing dimension,,Percentage (%),15.3
2023,7. Population living in households with moisture damages,,Percentage (%),7.2
2023,8. Population considering their dwelling as too dark,,Percentage (%),9.3
2024,1. Proportion of urban population living in inadequate housing,,Percentage (%),14.5
2024,3. Share of persons living in overcrowded households,,Percentage (%),3.7
2024,4. Population living in an area with noise pollution,,Percentage (%),34.6
2024,5. Housing cost overburden rate by poverty status,Above 60% of median equivalised income,Percentage (%),1.9
2024,5. Housing cost overburden rate by poverty status,All Statuses,Percentage (%),5.9
2024,5. Housing cost overburden rate by poverty status,Below 60% of median equivalised income,Percentage (%),25.3
2024,6. Material deprivation for the housing dimension,,Percentage (%),16.9
2024,7. Population living in households with moisture damages,,Percentage (%),9.5
2024,8. Population considering their dwelling as too dark,,Percentage (%),9.5
2025,1. Proportion of urban population living in inadequate housing,,Percentage (%),16.7
2025,3. Share of persons living in overcrowded households,,Percentage (%),4.7
2025,4. Population living in an area with noise pollution,,Percentage (%),34.2
2025,5. Housing cost overburden rate by poverty status,Above 60% of median equivalised income,Percentage (%),2.5
2025,5. Housing cost overburden rate by poverty status,All Statuses,Percentage (%),6.0
2025,5. Housing cost overburden rate by poverty status,Below 60% of median equivalised income,Percentage (%),23.0
2025,6. Material deprivation for the housing dimension,,Percentage (%),16.1
2025,7. Population living in households with moisture damages,,Percentage (%),10.1
2025,8. Population considering their dwelling as too dark,,Percentage (%),8.2
