Year,Series,Sex,Body Mass Index,Age,Units,Value
2023,2. Children moderately or severely overweight,Males,,,Number of children (thousands),1.2
2024,2. Children moderately or severely overweight,Males,,,Number of children (thousands),1.2
2014,3. Obesity rate by body mass index,,Pre-obese,,Percentage,35.0
2014,3. Obesity rate by body mass index,,Obese,,Percentage,26.0
2014,3. Obesity rate by body mass index,,Overweight,,Percentage,61.0
2017,3. Obesity rate by body mass index,,Pre-obese,,Percentage,36.5
2017,3. Obesity rate by body mass index,,Obese,,Percentage,25.7
2017,3. Obesity rate by body mass index,,Overweight,,Percentage,62.2
2019,3. Obesity rate by body mass index,,Pre-obese,,Percentage,36.1
2019,3. Obesity rate by body mass index,,Obese,,Percentage,28.7
2019,3. Obesity rate by body mass index,,Overweight,,Percentage,64.8
2022,3. Obesity rate by body mass index,,Pre-obese,,Percentage,36.3
2022,3. Obesity rate by body mass index,,Obese,,Percentage,26.1
2022,3. Obesity rate by body mass index,,Overweight,,Percentage,62.5
2014,"4. Percentage of children aged 11,13 and 15 years who are obese or overweight",Males,,13-year-olds,Percentage,36.0
2014,"4. Percentage of children aged 11,13 and 15 years who are obese or overweight",Males,,15-year-olds,Percentage,34.0
2014,"4. Percentage of children aged 11,13 and 15 years who are obese or overweight",Females,,13-year-olds,Percentage,33.0
2014,"4. Percentage of children aged 11,13 and 15 years who are obese or overweight",Females,,15-year-olds,Percentage,26.0
2018,"4. Percentage of children aged 11,13 and 15 years who are obese or overweight",Males,,11-year-olds,Percentage,44.0
2018,"4. Percentage of children aged 11,13 and 15 years who are obese or overweight",Males,,13-year-olds,Percentage,38.0
2018,"4. Percentage of children aged 11,13 and 15 years who are obese or overweight",Males,,15-year-olds,Percentage,41.0
2018,"4. Percentage of children aged 11,13 and 15 years who are obese or overweight",Females,,11-year-olds,Percentage,34.0
2018,"4. Percentage of children aged 11,13 and 15 years who are obese or overweight",Females,,13-year-olds,Percentage,35.0
2018,"4. Percentage of children aged 11,13 and 15 years who are obese or overweight",Females,,15-year-olds,Percentage,30.0
2022,"4. Percentage of children aged 11,13 and 15 years who are obese or overweight",Males,,11-year-olds,Percentage,41.0
2022,"4. Percentage of children aged 11,13 and 15 years who are obese or overweight",Males,,13-year-olds,Percentage,36.0
2022,"4. Percentage of children aged 11,13 and 15 years who are obese or overweight",Males,,15-year-olds,Percentage,31.0
2022,"4. Percentage of children aged 11,13 and 15 years who are obese or overweight",Females,,11-year-olds,Percentage,34.0
2022,"4. Percentage of children aged 11,13 and 15 years who are obese or overweight",Females,,13-year-olds,Percentage,29.0
2022,"4. Percentage of children aged 11,13 and 15 years who are obese or overweight",Females,,15-year-olds,Percentage,32.0
