Year,Series,Age,Sex,Type of Occupation,Court Level,Units,Value
2022,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Constitutional Courts,Ratio,0.0
2022,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Higher Courts,Ratio,0.08
2022,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Lower Courts,Ratio,0.46
2022,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Total,Ratio,0.24
2022,3. Proportion of positions in the judiciary compared to national distributions,Total,Females,,Constitutional Courts,Ratio,0.0
2022,3. Proportion of positions in the judiciary compared to national distributions,Total,Females,,Higher Courts,Ratio,0.95
2022,3. Proportion of positions in the judiciary compared to national distributions,Total,Females,,Lower Courts,Ratio,1.52
2022,3. Proportion of positions in the judiciary compared to national distributions,Total,Females,,Total,Ratio,1.11
2023,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Constitutional Courts,Ratio,0.0
2023,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Higher Courts,Ratio,0.16
2023,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Lower Courts,Ratio,0.6
2023,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Total,Ratio,0.34
2023,3. Proportion of positions in the judiciary compared to national distributions,Total,Females,,Constitutional Courts,Ratio,0.25
2023,3. Proportion of positions in the judiciary compared to national distributions,Total,Females,,Higher Courts,Ratio,1.0
2023,3. Proportion of positions in the judiciary compared to national distributions,Total,Females,,Lower Courts,Ratio,1.42
2023,3. Proportion of positions in the judiciary compared to national distributions,Total,Females,,Total,Ratio,1.08
2013,4. Number of parliamentarians,,Males,,,Number,63.0
2013,4. Number of parliamentarians,,Females,,,Number,8.0
2013,4. Number of parliamentarians,,Both Sexes,,,Number,71.0
2017,4. Number of parliamentarians,,Males,,,Number,57.0
2017,4. Number of parliamentarians,,Females,,,Number,10.0
2017,4. Number of parliamentarians,,Both Sexes,,,Number,67.0
2022,4. Number of parliamentarians,,Males,,,Number,56.0
2022,4. Number of parliamentarians,,Females,,,Number,23.0
2022,4. Number of parliamentarians,,Both Sexes,,,Number,79.0
