Year,Series,Sex,Migratory Status,Value
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,725.0
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,388.0
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,796.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,747.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,668.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,417.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,531.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,708.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,772.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,456.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,393.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,234.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,492.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,444.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,325.0
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,0.0
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,0.0
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,0.0
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,202.0
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,236.0
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,247.0
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,1.87
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,5.55
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,26.11
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,0.76
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,0.91
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,0.0
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,11.64
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,0.86
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,2.82
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,1.97
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,0.84
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,5.9
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,7.84
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,2.58
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,3.88
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,5.67
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,2.56
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,14.5
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,2152.0
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,2023.0
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,1305.0
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,2045.0
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,1920.0
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,1313.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,1837.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,1710.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,1865.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,1474.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,1662.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,1715.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,1235.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,1168.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,1257.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,1203.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,1020.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,1155.0
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,6.3
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,5.1
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,9.4
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,780.0
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,786.0
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,803.0
