Year,Value,Units,Series
2024,146.0,Index (2010=100),DMC per capita in Index form
2010,100.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2011,77.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2012,70.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2013,89.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2014,69.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2015,64.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2016,66.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2017,86.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2018,78.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2019,83.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2020,74.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2021,92.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2022,100.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2023,104.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2024,114.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
