Year,Series,Activity,Units,Value
2018,2. Water Use Efficiency (Euros per cubic metre),Services,Euros per cubic metre,289.98
2019,2. Water Use Efficiency (Euros per cubic metre),Services,Euros per cubic metre,293.3
2020,2. Water Use Efficiency (Euros per cubic metre),Services,Euros per cubic metre,297.14
2021,2. Water Use Efficiency (Euros per cubic metre),Services,Euros per cubic metre,341.09
2022,2. Water Use Efficiency (Euros per cubic metre),Services,Euros per cubic metre,342.26
2023,2. Water Use Efficiency (Euros per cubic metre),Services,Euros per cubic metre,362.7
2024,2. Water Use Efficiency (Euros per cubic metre),Services,Euros per cubic metre,356.73
2010,2. Water Use Efficiency (Euros per cubic metre),Total,Euros per cubic metre,120.04
2011,2. Water Use Efficiency (Euros per cubic metre),Total,Euros per cubic metre,120.92
2012,2. Water Use Efficiency (Euros per cubic metre),Total,Euros per cubic metre,128.04
2013,2. Water Use Efficiency (Euros per cubic metre),Total,Euros per cubic metre,127.22
2014,2. Water Use Efficiency (Euros per cubic metre),Total,Euros per cubic metre,141.89
2015,2. Water Use Efficiency (Euros per cubic metre),Total,Euros per cubic metre,159.09
2016,2. Water Use Efficiency (Euros per cubic metre),Total,Euros per cubic metre,163.43
2017,2. Water Use Efficiency (Euros per cubic metre),Total,Euros per cubic metre,182.64
2018,2. Water Use Efficiency (Euros per cubic metre),Total,Euros per cubic metre,198.61
2019,2. Water Use Efficiency (Euros per cubic metre),Total,Euros per cubic metre,210.83
2020,2. Water Use Efficiency (Euros per cubic metre),Total,Euros per cubic metre,206.93
2021,2. Water Use Efficiency (Euros per cubic metre),Total,Euros per cubic metre,239.95
2022,2. Water Use Efficiency (Euros per cubic metre),Total,Euros per cubic metre,247.93
2023,2. Water Use Efficiency (Euros per cubic metre),Total,Euros per cubic metre,265.31
2024,2. Water Use Efficiency (Euros per cubic metre),Total,Euros per cubic metre,255.53
